CUSTOMER;PRODOTTO;YW;START_DATE;END_DATE;PriceUnits;PriceVolume;Units;Volume;Value;WD
Customer A;BABY DRY DUO DWCT;2018-43;43395;43401;11,27974758;56,90818895;3407;675,3;38430,1;95
Customer A;BABY DRY DUO DWCT;2018-44;43402;43408;11,89546125;60,52703718;2710;532,6;32236,7;90
Customer A;BABY DRY DUO DWCT;2018-45;43409;43415;11,89511947;60,27228233;1967;388,2;23397,7;86
Customer A;BABY DRY DUO DWCT;2018-46;43416;43422;11,49111111;58,85053111;2025;395,4;23269,5;87
Customer A;BABY DRY DUO DWCT;2018-47;43423;43429;6,95465453;35,06259995;65259;12944,1;453853,8;100
Customer A;BABY DRY DUO DWCT;2018-48;43430;43436;11,18514851;57,07251114;1717;336,5;19204,9;72
Customer A;BABY DRY DUO DWCT;2018-49;43437;43443;9,639265149;48,92748782;3647;718,5;35154,4;95
Customer A;BABY DRY DUO DWCT;2018-50;43444;43450;8,899588031;45,10924277;9224;1819,8;82089,8;99
Customer A;BABY DRY DUO DWCT;2018-51;43451;43457;8,898231132;45,05567995;10176;2009,7;90548,4;100
Customer A;BABY DRY DUO DWCT;2018-52;43458;43464;9,253269264;46,89814734;5827;1149,7;53918,8;98
Customer A;BABY DRY DUO DWCT;2019-01;43465;43471;10,44388027;52,8759542;4510;890,8;47101,9;97
Customer A;BABY DRY DUO DWCT;2019-02;43472;43478;9,206388987;47,00464068;11332;2219,5;104326,8;100
Customer A;BABY DRY DUO DWCT;2019-03;43479;43485;9,143533622;46,60785645;12016;2357,3;109868,7;100
Customer A;BABY DRY DUO DWCT;2019-04;43486;43492;11,28177757;57,76715627;4253;830,6;47981,4;96
Customer A;BABY DRY DUO DWCT;2019-05;43493;43499;10,42118027;53,61866733;6185;1202,1;64455;98
Customer A;BABY DRY DUO DWCT;2019-06;43500;43506;9,216380298;47,35296426;13095;2548,7;120688,5;100
Customer A;BABY DRY DUO DWCT;2019-07;43507;43513;9,202670007;47,05585447;13970;2732,1;128561,3;100
Customer A;BABY DRY DUO DWCT;2019-08;43514;43520;11,22846772;57,43793103;3857;754;43308,2;96
Customer A;BABY DRY DUO DWCT;2019-09;43521;43527;10,97043607;54,95372084;2706;540,2;29686;91
Customer A;BABY DRY DUO DWCT;2019-10;43528;43534;11,39861178;58,24779843;2089;408,8;23811,7;86
Customer A;BABY DRY DUO DWCT;2019-11;43535;43541;11,85924903;60,6526405;1811;354,1;21477,1;81
Customer A;BABY DRY DUO DWCT;2019-12;43542;43548;11,5859292;59,53660755;3390;659,7;39276,3;95
Customer A;BABY DRY DUO DWCT;2019-13;43549;43555;10,59048587;54,73271696;4919;951,8;52094,6;96
Customer A;BABY DRY DUO DWCT;2019-14;43556;43562;9,186066229;47,39361175;12502;2423,2;114844,2;100
Customer A;BABY DRY DUO DWCT;2019-15;43563;43569;9,166238328;47,34612151;11673;2259,9;106997,5;100
Customer A;BABY DRY DUO DWCT;2019-16;43570;43576;11,11380552;57,68099688;3332;642;37031,2;95
Customer A;BABY DRY DUO DWCT;2019-17;43577;43583;11,89978495;60,73984632;1395;273,3;16600,2;77
Customer A;BABY DRY DUO DWCT;2019-18;43584;43590;10,1876177;52,97062424;4248;817;43277;95
Customer A;BABY DRY DUO DWCT;2019-19;43591;43597;9,193879051;47,20599887;13609;2650,5;125119,5;100
Customer A;BABY DRY DUO DWCT;2019-20;43598;43604;9,180928595;47,45513417;12212;2362,6;112117,5;100
Customer A;BABY DRY DUO DWCT;2019-21;43605;43611;9,161453129;47,39872946;11809;2282,5;108187,6;100
Customer A;BABY DRY DUO DWCT;2019-22;43612;43618;11,17700583;58,39789227;4462;854;49871,8;97
Customer A;BABY DRY DUO DWCT;2019-23;43619;43625;10,52804953;54,53246239;6542;1263;68874,5;98
Customer A;BABY DRY DUO DWCT;2019-24;43626;43632;9,180401817;47,13241574;15629;3044,2;143480,5;100
Customer A;BABY DRY DUO DWCT;2019-25;43633;43639;9,169136573;46,88048333;12821;2507,6;117557,5;100
Customer A;BABY DRY DUO DWCT;2019-26;43640;43646;10,85693388;55,6190048;5127;1000,8;55663,5;97
Customer A;BABY DRY DUO DWCT;2019-27;43647;43653;10,59231782;54,19270073;4556;890,5;48258,6;97
Customer A;BABY DRY DUO DWCT;2019-28;43654;43660;10,32771699;52,19056395;4113;813,9;42477,9;96
Customer A;BABY DRY DUO DWCT;2019-29;43661;43667;9,743888284;49,29155963;5514;1090;53727,8;97
Customer A;BABY DRY DUO DWCT;2019-30;43668;43674;10,29597961;52,60183221;5298;1037;54548,1;95
Customer A;BABY DRY DUO DWCT;2019-31;43675;43681;8,906103341;44,54854004;8651;1729,5;77046,7;99
Customer A;BABY DRY DUO DWCT;2019-32;43682;43688;10,67641249;52,75673565;2531;512,2;27022;89
Customer A;BABY DRY DUO DWCT;2019-33;43689;43695;11,79740466;57,94354839;1888;384,4;22273,5;82
Customer A;BABY DRY DUO DWCT;2019-34;43696;43702;10,45377538;51,46072154;3152;640,3;32950,3;89
Customer A;BABY DRY DUO DWCT;2019-35;43703;43709;9,282384057;46,31221997;8129;1629,3;75456,5;99
Customer A;BABY DRY DUO DWCT;2019-36;43710;43716;9,224981027;46,24188435;7906;1577,2;72932,7;98
Customer A;BABY DRY DUO DWCT;2019-37;43717;43723;11,33407176;56,85662858;3205;638,9;36325,7;93
Customer A;BABY DRY DUO DWCT;2019-38;43724;43730;11,81398408;59,51281604;2889;573,5;34130,6;91
Customer A;BABY DRY DUO DWCT;2019-39;43731;43737;11,73934978;59,48026129;1784;352,1;20943;82
Customer A;BABY DRY DUO DWCT;2019-40;43738;43744;11,69173333;59,20064812;1875;370,3;21922;79
Customer A;BABY DRY DUO DWCT;2019-41;43745;43751;11,68329283;60,13352095;1646;319,8;19230,7;80
Customer A;BABY DRY DUO DWCT;2019-42;43752;43758;10,42600528;53,03284563;3407;669,8;35521,4;94
Customer A;BABY DRY DUO DWCT;2019-43;43759;43765;8,995486254;45,75185224;4874;958,3;43844;95
Customer A;BABY DRY DUO DWCT;2019-44;43766;43772;8,448911237;42,88016511;11435;2253,1;96613,3;99
Customer A;BABY DRY DUO DWCT;2019-45;43773;43779;8,449480585;42,92273799;9915;1951,8;83776,6;99
Customer A;BABY DRY DUO DWCT;2019-46;43780;43786;9,987579434;50,52900775;3462;684,3;34577;95
Customer A;BABY DRY DUO DWCT;2019-47;43787;43793;10,8836034;55,10900567;2592;511,9;28210,3;94
Customer A;BABY DRY DUO DWCT;2019-48;43794;43800;7,014683309;35,7604964;38697;7590,7;271447,2;100
Customer A;BABY DRY DUO DWCT;2019-49;43801;43807;10,33486207;52,40618989;2900;571,9;29971,1;92
Customer A;BABY DRY DUO DWCT;2019-50;43808;43814;8,901577052;45,11858006;8053;1588,8;71684,4;99
Customer A;BABY DRY DUO DWCT;2019-51;43815;43821;8,899965928;45,21098483;8805;1733,3;78364,2;99
Customer A;BABY DRY DUO DWCT;2019-52;43822;43828;8,900996451;45,05541353;7326;1447,3;65208,7;99
Customer A;BABY DRY DUO DWCT;2020-01;43829;43835;8,909044658;45,42077353;8845;1734,9;78800,5;99
Customer A;BABY DRY DUO DWCT;2020-02;43836;43842;8,899555739;45,54957432;9679;1891,1;86138,8;99
Customer A;BABY DRY DUO DWCT;2020-03;43843;43849;8,899883078;45,60214585;9408;1836,1;83730,1;99
Customer A;BABY DRY DUO DWCT;2020-04;43850;43856;10,24678021;52,19598289;4286;841,4;43917,7;94
Customer A;BABY DRY DUO DWCT;2020-05;43857;43863;9,690578274;49,6652202;5551;1083,1;53792,4;95
Customer A;BABY DRY DUO DWCT;2020-06;43864;43870;8,900414391;45,74057403;10618;2066,1;94504,6;100
Customer A;BABY DRY DUO DWCT;2020-07;43871;43877;8,898901373;45,66901589;12015;2341,2;106920,3;100
Customer A;BABY DRY DUO DWCT;2020-08;43878;43884;8,899591389;45,62563867;10034;1957,2;89298,5;100
Customer A;BABY DRY DUO DWCT;2020-09;43885;43891;9,742832084;50,16198686;6271;1218;61097,3;98
Customer A;BABY DRY DUO DWCT;2020-10;43892;43898;10,80715689;55,76524258;3563;690,5;38505,9;93
Customer A;BABY DRY DUO DWCT;2020-11;43899;43905;10,78666188;56,4050839;4176;798,6;45045,1;96
Customer A;BABY DRY DUO DWCT;2020-12;43906;43912;10,84703557;56,63021048;2530;484,6;27443;89
Customer A;BABY DRY DUO DWCT;2020-13;43913;43919;10,90057608;56,78305384;2951;566,5;32167,6;91
Customer A;BABY DRY DUO DWCT;2020-14;43920;43926;10,02837037;51,90402556;4050;782,5;40614,9;93
Customer A;BABY DRY DUO DWCT;2020-15;43927;43933;8,877611451;45,5859844;9152;1782,3;81247,9;98
Customer A;BABY DRY DUO DWCT;2020-16;43934;43940;8,857176588;45,40015288;8047;1569,9;71273,7;98
Customer A;BABY DRY DUO DWCT;2020-17;43941;43947;8,862494959;45,26474425;7439;1456,5;65928,1;99
Customer A;BABY DRY DUO DWCT;2020-18;43948;43954;10,04091794;51,28157409;3595;703,9;36097,1;92
Customer A;BABY DRY DUO DWCT;2020-19;43955;43961;9,711365015;49,66153051;4945;967;48022,7;96
Customer A;BABY DRY DUO DWCT;2020-20;43962;43968;8,887391903;45,30512975;10176;1996,2;90438,1;99
Customer A;BABY DRY DUO DWCT;2020-21;43969;43975;8,889700353;45,24231706;8777;1724,6;78024,9;100
Customer A;BABY DRY DUO DWCT;2020-22;43976;43982;10,25637381;52,37427109;4291;840,3;44010,1;96
Customer A;BABY DRY DUO DWCT;2020-23;43983;43989;9,759465863;49,79472527;4643;910;45313,2;95
Customer A;BABY DRY DUO DWCT;2020-24;43990;43996;8,397088056;42,61330856;11470;2260,2;96314,6;100
Customer A;BABY DRY DUO DWCT;2020-25;43997;44003;8,414422975;43,05635096;9471;1850,9;79693;99
Customer A;BABY DRY DUO DWCT;2020-26;44004;44010;8,453276956;43,04497608;8514;1672;71971,2;98
Customer A;BABY DRY DUO DWCT;2020-27;44011;44017;10,2284345;51,76232821;3756;742,2;38418;94
Customer A;BABY DRY DUO DWCT;2020-28;44018;44024;10,84191483;54,59416317;3123;620,2;33859,3;90
Customer A;BABY DRY DUO DWCT;2020-29;44025;44031;10,86753452;53,31759241;2535;516,7;27549,2;83
Customer A;BABY DRY DUO DWCT;2020-30;44032;44038;10,11106796;49,17091596;2575;529,5;26036;82
Customer A;BABY DRY DUO DWCT;2020-31;44039;44045;8,49872549;42,26228975;6120;1230,7;52012,2;97
Customer A;BABY DRY DUO DWCT;2020-32;44046;44052;8,506319328;42,19123041;5950;1199,6;50612,6;96
Customer A;BABY DRY DUO DWCT;2020-33;44053;44059;10,1300816;50,19426576;2696;544,1;27310,7;87
Customer A;BABY DRY DUO DWCT;2020-34;44060;44066;10,8641814;53,68135207;2602;526,6;28268,6;83
Customer A;BABY DRY DUO DWCT;2020-35;44067;44073;9,801934016;48,73246606;3516;707,2;34463,6;90
Customer A;BABY DRY DUO DWCT;2020-36;44074;44080;8,412258573;42,06958407;7611;1521,9;64025,7;98
Customer A;BABY DRY DUO DWCT;2020-37;44081;44087;8,4189127;42,23427128;6953;1386;58536,7;97
Customer A;BABY DRY DUO DWCT;2020-38;44088;44094;10,24440689;50,96368527;2959;594,8;30313,2;90
Customer A;BABY DRY DUO DWCT;2020-39;44095;44101;10,87240978;54,43598213;2577;514,7;28018,2;88
Customer A;BABY DRY DUO DWCT;2020-40;44102;44108;8,900601235;44,91537515;6154;1219,5;54774,3;97
Customer A;BABY DRY DUO DWCT;2020-41;44109;44115;8,896985785;44,88077754;5839;1157,5;51949,5;96
Customer A;BABY DRY DUO DWCT;2020-42;44116;44122;8,419185409;42,44517423;7292;1446,4;61392,7;98
Customer A;BABY DRY DUO DWCT;2020-43;44123;44129;8,379821642;42,22225203;7513;1491,1;62957,6;98
Customer A;BABY DRY DUO DWCT;2020-44;44130;44136;8,40774658;42,56892907;6945;1371,7;58391,8;97
Customer A;BABY DRY DUO DWCT;2020-45;44137;44143;9,494455067;47,78061102;4184;831,4;39724,8;92
Customer A;BABY DRY DUO DWCT;2020-46;44144;44150;9,494322917;48,07886061;3840;758,3;36458,2;93
Customer A;BABY DRY DUO DWCT;2020-47;44151;44157;9,477493228;47,97818499;4061;802,2;38488,1;97
Customer A;BABY DRY DUO DWCT;2020-48;44158;44164;6,570091462;33,39689032;46358;9119,9;304576,3;100
Customer A;BABY DRY DUO DWCT;2020-49;44165;44171;7,582097368;38,35285275;7066;1396,9;53575,1;96
Customer A;BABY DRY DUO DWCT;2020-50;44172;44178;10,57590736;53,28474399;2893;574,2;30596,1;88
Customer A;BABY DRY DUO DWCT;2020-51;44179;44185;8,403883386;42,64829201;8884;1750,6;74660,1;98
Customer A;BABY DRY DUO DWCT;2020-52;44186;44192;8,355303883;42,5273899;7108;1396,5;59389,5;97
Customer A;BABY DRY DUO DWCT;2021-00;44193;44199;8,875899637;45,14710327;6058;1191;53770,2;96
Customer A;BABY DRY DUO DWCT;2021-01;44200;44206;9,435964567;47,81039298;5080;1002,6;47934,7;96
Customer A;BABY DRY DUO DWCT;2021-02;44207;44213;10,86271557;55,00836408;4117;813;44721,8;95
Customer A;BABY DRY DUO DWCT;2021-03;44214;44220;8,690106529;44,16321827;9481;1865,6;82390,9;99
Customer A;BABY DRY DUO DWCT;2021-04;44221;44227;8,300785634;42,48133257;10692;2089,2;88752;99
Customer A;BABY DRY DUO DWCT;2021-05;44228;44234;8,325645953;42,47861851;9366;1835,7;77978;98
Customer A;BABY DRY DUO DWCT;2021-06;44235;44241;9,291485929;47,31830215;5579;1095,5;51837,2;97
Customer A;BABY DRY DUO DWCT;2021-07;44242;44248;10,87226891;55,43977146;3213;630,1;34932,6;94
Customer A;BABY DRY DUO DWCT;2021-08;44249;44255;10,18559509;52,35406155;4075;792,8;41506,3;94
Customer A;BABY DRY DUO DWCT;2021-09;44256;44262;8,46896253;43,78878997;9234;1785,9;78202,4;99
Customer A;BABY DRY DUO DWCT;2021-10;44263;44269;8,289847764;42,63999413;10510;2043,3;87126,3;99
Customer A;BABY DRY DUO DWCT;2021-11;44270;44276;8,257039711;42,45800754;9141;1777,7;75477,6;99
Customer A;BABY DRY DUO DWCT;2021-12;44277;44283;9,139360442;46,86234818;5066;988;46300;96
Customer A;BABY DRY DUO DWCT;2021-13;44284;44290;10,86566383;55,53601872;3058;598,3;33227,2;92
Customer A;BABY DRY DUO DWCT;2021-14;44291;44297;10,86683381;55,67009174;2792;545;30340,2;90
Customer A;BABY DRY DUO DWCT;2021-15;44298;44304;10,84519419;54,62240664;2549;506,1;27644,4;85
Customer A;BABY DRY DUO DWCT;2021-16;44305;44311;10,81949266;54,35144199;2247;447,3;24311,4;85
Customer A;BABY DRY DUO DWCT;2021-17;44312;44318;10,87389937;54,66418248;2226;442,8;24205,3;85
Customer A;BABY DRY DUO DWCT;2021-18;44319;44325;10,86827156;55,51433121;2887;565,2;31376,7;94
Customer A;BABY DRY DUO DWCT;2021-19;44326;44332;10,86202783;55,28094435;3018;593;32781,6;92
Customer A;BABY DRY DUO DWCT;2021-20;44333;44339;7,370315114;38,04649656;14344;2778,7;105719,8;99
Customer A;BABY DRY DUO DWCT;2021-21;44340;44346;8,286568614;42,67026293;7207;1399,6;59721,3;98
Customer A;BABY DRY DUO DWCT;2021-22;44347;44353;10,8220255;55,36485507;2824;552;30561,4;91
Customer A;BABY DRY DUO DWCT;2021-23;44354;44360;10,83542145;55,57140454;3049;594,5;33037,2;90
Customer A;BABY DRY DUO DWCT;2021-24;44361;44367;9,218075555;47,21004685;5903;1152,6;54414,3;96
Customer A;BABY DRY DUO DWCT;2021-25;44368;44374;8,897774175;45,3682826;6784;1330,5;60362,5;98
Customer A;BABY DRY DUO DWCT;2021-26;44375;44381;8,897667867;45,03105196;6389;1262,4;56847,2;97
Customer A;BABY DRY DUO DWCT;2021-27;44382;44388;9,54320793;47,98629361;4439;882,8;42362,3;91
Customer A;BABY DRY DUO DWCT;2021-28;44389;44395;10,69500942;53,88945121;3186;632,3;34074,3;89
Customer A;BABY DRY DUO DWCT;2021-29;44396;44402;10,15490137;51,15486929;3295;654,1;33460,4;92
Customer A;BABY DRY DUO DWCT;2021-30;44403;44409;8,890135615;44,86353267;6194;1227,4;55065,5;97
Customer A;BABY DRY DWCT;2018-05;43129;43135;6,579177057;62,44378698;802;84,5;5276,5;53
Customer A;BABY DRY DWCT;2018-06;43136;43142;6,477325581;62,58988764;516;53,4;3342,3;42
Customer A;BABY DRY DWCT;2018-07;43143;43149;6,655745721;65,28057554;409;41,7;2722,2;36
Customer A;BABY DRY DWCT;2018-08;43150;43156;6,737823834;64,53598015;386;40,3;2600,8;37
Customer A;BABY DRY DWCT;2018-09;43157;43163;6,404423381;64,04423381;633;63,3;4054;47
Customer A;BABY DRY DWCT;2018-10;43164;43170;6,334074074;63,49752475;810;80,8;5130,6;52
Customer A;BABY DRY DWCT;2018-11;43171;43177;6,378333333;63,25619835;960;96,8;6123,2;59
Customer A;BABY DRY DWCT;2018-12;43178;43184;5,549852855;56,80240964;1699;166;9429,2;68
Customer A;BABY DRY DWCT;2018-13;43185;43191;5,131727749;52,5695897;3820;372,9;19603,2;75
Customer A;BABY DRY DWCT;2018-14;43192;43198;5,179716677;51,76383526;1553;155,4;8044,1;69
Customer A;BABY DRY DWCT;2018-15;43199;43205;6,121027287;60,14826498;623;63,4;3813,4;51
Customer A;BABY DRY DWCT;2018-16;43206;43212;6,712149533;67,27868852;428;42,7;2872,8;40
Customer A;BABY DRY DWCT;2018-17;43213;43219;6,597989418;66,33085106;945;94;6235,1;65
Customer A;BABY DRY DWCT;2018-18;43220;43226;5,467838313;55,80627803;2276;223;12444,8;83
Customer A;BABY DRY DWCT;2018-19;43227;43233;5,877581864;58,40801001;794;79,9;4666,8;54
Customer A;BABY DRY DWCT;2018-20;43234;43240;6,876349614;68,94072165;389;38,8;2674,9;39
Customer A;BABY DRY DWCT;2018-21;43241;43247;6,789337176;66,92897727;347;35,2;2355,9;34
Customer A;BABY DRY DWCT;2018-22;43248;43254;6,687912088;67,41792548;1001;99,3;6694,6;67
Customer A;BABY DRY DWCT;2018-23;43255;43261;6,591356784;66,3805668;995;98,8;6558,4;67
Customer A;BABY DRY DWCT;2018-24;43262;43268;6,555928854;64,53891051;506;51,4;3317,3;39
Customer A;BABY DRY DWCT;2018-25;43269;43275;6,558089669;64,32695985;513;52,3;3364,3;44
Customer A;BABY DRY DWCT;2018-26;43276;43282;6,47628866;62,56972112;485;50,2;3141;39
Customer A;BABY DRY DWCT;2018-27;43283;43289;6,446492147;63,86307054;955;96,4;6156,4;63
Customer A;BABY DRY DWCT;2018-28;43290;43296;6,293909627;62,75416259;1018;102,1;6407,2;57
Customer A;BABY DRY DWCT;2018-29;43297;43303;6,343859649;62,65346535;798;80,8;5062,4;56
Customer A;BABY DRY DWCT;2018-30;43304;43310;6,156849315;59,79379157;438;45,1;2696,7;32
Customer A;BABY DRY DWCT;2018-31;43311;43317;6,08;59,99113082;445;45,1;2705,6;36
Customer A;BABY DRY DWCT;2018-32;43318;43324;6,666574966;64,79411765;727;74,8;4846,6;55
Customer A;BABY DRY DWCT;2018-33;43325;43331;6,666942149;64,27888446;726;75,3;4840,2;49
Customer A;BABY DRY DWCT;2018-34;43332;43338;6,781855389;65,84238411;733;75,5;4971,1;50
Customer A;BABY DRY DWCT;2018-35;43339;43345;5,001355873;48,76837225;5679;582,4;28402,7;94
Customer A;BABY DRY DWCT;2018-36;43346;43352;5,001053304;49,32567291;6266;635,3;31336,6;97
Customer A;BABY DRY DWCT;2018-37;43353;43359;5;49,35561535;6970;706,1;34850;95
Customer A;BABY DRY DWCT;2018-38;43360;43366;5,737989779;57,44513928;1761;175,9;10104,6;75
Customer A;BABY DRY DWCT;2018-39;43367;43373;6,776380729;67,6049238;851;85,3;5766,7;58
Customer A;BABY DRY DWCT;2018-40;43374;43380;6,677462687;65,88954345;670;67,9;4473,9;46
Customer A;BABY DRY DWCT;2018-41;43381;43387;6,439240506;63,19254658;316;32,2;2034,8;28
Customer A;BABY DRY DWCT;2018-42;43388;43394;5,580709534;53,77991453;451;46,8;2516,9;28
Customer A;BABY DRY DWCT;2018-43;43395;43401;6,28739726;61,60805369;730;74,5;4589,8;51
Customer A;BABY DRY DWCT;2018-44;43402;43408;6,754079696;67,79809524;527;52,5;3559,4;47
Customer A;BABY DRY DWCT;2018-45;43409;43415;4,90117865;49,11930476;5939;592,6;29108,1;94
Customer A;BABY DRY DWCT;2018-46;43416;43422;4,899518735;49,16419455;5818;579,8;28505,4;97
Customer A;BABY DRY DWCT;2018-47;43423;43429;4,045285467;41,08668912;6936;682,9;28058,1;93
Customer A;BABY DRY DWCT;2018-48;43430;43436;5,724754098;57,43585526;1220;121,6;6984,2;63
Customer A;BABY DRY DWCT;2018-49;43437;43443;5,69001387;57,13788301;721;71,8;4102,5;51
Customer A;BABY DRY DWCT;2018-50;43444;43450;5,166220736;49,99029126;598;61,8;3089,4;42
Customer A;BABY DRY DWCT;2018-51;43451;43457;5,25521978;50,80743692;728;75,3;3825,8;49
Customer A;BABY DRY DWCT;2018-52;43458;43464;5,218617021;52,07537155;940;94,2;4905,5;57
Customer A;BABY DRY DWCT;2019-01;43465;43471;5,899579243;58,74860335;713;71,6;4206,4;47
Customer A;BABY DRY DWCT;2019-02;43472;43478;6,906593407;68,81386861;273;27,4;1885,5;31
Customer A;BABY DRY DWCT;2019-03;43479;43485;6,835897436;67,37184116;273;27,7;1866,2;28
Customer A;BABY DRY DWCT;2019-04;43486;43492;6,462679426;64,62679426;627;62,7;4052,1;46
Customer A;BABY DRY DWCT;2019-05;43493;43499;6,394343066;64,65129151;548;54,2;3504,1;46
Customer A;BABY DRY DWCT;2019-06;43500;43506;6,612;66,12;250;25;1653;29
Customer A;BABY DRY DWCT;2019-07;43507;43513;5,181343284;50,53129549;670;68,7;3471,5;33
Customer A;BABY DRY DWCT;2019-08;43514;43520;6,156744868;61,74852941;682;68;4198,9;46
Customer A;BABY DRY DWCT;2019-09;43521;43527;4,713653367;49,03177691;1604;154,2;7560,7;57
Customer A;BABY DRY DWCT;2019-10;43528;43534;4,899666402;49,58745981;6295;622;30843,4;96
Customer A;BABY DRY DWCT;2019-11;43535;43541;4,899015518;49,91465488;5993;588,2;29359,8;95
Customer A;BABY DRY DWCT;2019-12;43542;43548;6,065101289;62,0801131;1086;106,1;6586,7;57
Customer A;BABY DRY DWCT;2019-13;43549;43555;6,799440299;69,95201536;536;52,1;3644,5;41
Customer A;BABY DRY DWCT;2019-14;43556;43562;6,491166078;66,31768953;283;27,7;1837;26
Customer A;BABY DRY DWCT;2019-15;43563;43569;6,866666667;70,72961373;240;23,3;1648;25
Customer A;BABY DRY DWCT;2019-16;43570;43576;4,901310638;50,47361963;5875;570,5;28795,2;95
Customer A;BABY DRY DWCT;2019-17;43577;43583;4,899550083;49,70165746;4223;416,3;20690,8;93
Customer A;BABY DRY DWCT;2019-18;43584;43590;4,899424939;49,70125883;3304;325,7;16187,7;88
Customer A;BABY DRY DWCT;2019-19;43591;43597;5,865905097;59,70840787;569;55,9;3337,7;48
Customer A;BABY DRY DWCT;2019-20;43598;43604;6,918939394;70,79844961;264;25,8;1826,6;27
Customer A;BABY DRY DWCT;2019-21;43605;43611;6,80730897;70,17123288;301;29,2;2049;28
Customer A;BABY DRY DWCT;2019-22;43612;43618;6,592084006;68,35008375;619;59,7;4080,5;52
